MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,CRS_DEP_TIME,DEP_DELAY_NEW
8,7,OO,HPN,620,19.0
8,7,UA,LGA,630,107.0
8,7,UA,LGA,900,104.0
8,7,UA,LGA,1005,68.0
8,7,UA,LGA,1300,174.0
8,7,UA,LGA,1815,53.0
8,7,UA,LGA,800,129.0
8,7,YX,LGA,700,155.0
8,1,AA,LGA,1430,63.0
8,1,AA,LGA,830,5.0
8,1,AA,LGA,1730,124.0
8,1,AA,JFK,1555,180.0
8,1,AA,LGA,1030,18.0
8,1,AA,LGA,930,13.0
8,1,AA,LGA,1630,1.0
8,1,AA,LGA,1229,1.0
8,1,AA,LGA,659,1.0
8,1,AA,LGA,600,0.0
8,1,AA,LGA,1930,103.0
8,1,OO,HPN,1630,54.0
8,1,9E,JFK,1459,20.0
8,1,9E,JFK,900,0.0
8,1,9E,JFK,1155,37.0
8,1,DL,LGA,1630,0.0
8,1,DL,LGA,1359,0.0
8,1,DL,LGA,845,53.0
8,1,DL,LGA,1200,35.0
8,1,DL,LGA,730,29.0
8,1,DL,LGA,2045,0.0
8,1,YX,JFK,1935,0.0
8,1,OO,LGA,1107,111.0
8,1,OO,LGA,1652,10.0
8,1,OO,HPN,1803,62.0
8,1,UA,LGA,1815,164.0
8,1,UA,LGA,900,131.0
8,1,UA,LGA,1005,76.0
8,1,UA,LGA,1300,123.0
8,1,UA,LGA,630,0.0
8,1,UA,LGA,2100,10.0
8,1,UA,LGA,1500,102.0
8,2,AA,JFK,845,0.0
8,2,AA,JFK,1555,0.0
8,2,AA,LGA,1830,57.0
8,2,AA,LGA,1130,21.0
8,2,AA,LGA,930,0.0
8,2,AA,LGA,2030,31.0
8,2,AA,LGA,1930,57.0
8,2,AA,LGA,1630,0.0
8,2,AA,LGA,659,112.0
8,2,AA,LGA,1730,44.0
8,2,AA,LGA,600,147.0
8,2,AA,LGA,1229,1.0
8,2,AA,LGA,1430,12.0
8,2,AA,LGA,1330,0.0
8,2,AA,LGA,1030,0.0
8,2,AA,LGA,830,19.0
8,2,AA,LGA,1530,0.0
8,2,OO,HPN,705,0.0
8,2,OO,HPN,1630,0.0
8,2,B6,JFK,1321,0.0
8,2,B6,JFK,807,14.0
8,2,9E,JFK,1155,0.0
8,2,9E,JFK,1459,0.0
8,2,9E,JFK,900,36.0
8,2,DL,LGA,600,0.0
8,2,DL,LGA,1359,0.0
8,2,DL,LGA,2045,162.0
8,2,DL,LGA,1200,101.0
8,2,DL,LGA,1830,165.0
8,2,DL,LGA,730,0.0
8,2,DL,LGA,1630,0.0
8,2,DL,LGA,845,172.0
8,2,YX,JFK,1935,73.0
8,2,OO,LGA,1107,0.0
8,2,OO,LGA,1652,6.0
8,2,OO,LGA,1915,165.0
8,2,OO,HPN,1803,0.0
8,2,OO,HPN,620,3.0
8,2,OO,HPN,1200,0.0
8,2,UA,LGA,1815,6.0
8,2,UA,LGA,900,0.0
8,2,UA,LGA,1300,0.0
8,2,UA,LGA,1005,0.0
8,2,UA,LGA,2100,69.0
8,2,UA,LGA,630,0.0
8,2,UA,LGA,1500,79.0
8,2,UA,LGA,800,0.0
8,2,YX,LGA,700,0.0
8,3,AA,LGA,1630,0.0
8,3,AA,LGA,1830,0.0
8,3,AA,JFK,845,12.0
8,3,AA,JFK,1555,0.0
8,3,AA,LGA,1030,0.0
8,3,AA,LGA,2030,26.0
8,3,AA,LGA,1430,0.0
8,3,AA,LGA,930,0.0
8,3,AA,LGA,1930,20.0
8,3,AA,LGA,1130,0.0
8,3,AA,LGA,1330,7.0
8,3,AA,LGA,1730,47.0
8,3,AA,LGA,830,37.0
8,3,AA,LGA,1530,0.0
8,3,AA,LGA,1229,0.0
8,3,AA,LGA,659,0.0
8,3,OO,HPN,1630,2.0
8,3,OO,HPN,705,0.0
8,3,B6,JFK,1321,0.0
8,3,B6,JFK,807,32.0
8,3,9E,JFK,1459,46.0
8,3,9E,JFK,1155,0.0
8,3,9E,JFK,900,0.0
8,3,DL,LGA,845,61.0
8,3,DL,LGA,730,0.0
8,3,DL,LGA,1830,0.0
8,3,DL,LGA,1630,0.0
8,3,DL,LGA,600,0.0
8,3,DL,LGA,1200,18.0
8,3,DL,LGA,1359,0.0
8,3,YX,JFK,1935,87.0
8,3,OO,LGA,1915,0.0
8,3,OO,LGA,1107,0.0
8,3,OO,LGA,1652,11.0
8,3,OO,HPN,1200,0.0
8,3,OO,HPN,620,1.0
8,3,OO,HPN,1803,0.0
8,3,UA,LGA,1815,0.0
8,3,UA,LGA,2100,0.0
8,3,UA,LGA,1300,0.0
8,3,UA,LGA,900,2.0
8,3,UA,LGA,1005,0.0
8,3,UA,LGA,630,0.0
8,3,UA,LGA,800,0.0
8,3,UA,LGA,1500,0.0
8,3,YX,LGA,700,0.0
8,4,AA,LGA,830,6.0
8,4,AA,LGA,1730,0.0
8,4,AA,LGA,930,0.0
8,4,AA,LGA,1130,0.0
8,4,AA,LGA,600,0.0
8,4,AA,JFK,1555,0.0
8,4,AA,LGA,2030,107.0
8,4,AA,LGA,1330,0.0
8,4,AA,LGA,659,0.0
8,4,AA,LGA,1830,10.0
8,4,AA,LGA,1430,0.0
8,4,AA,LGA,1229,0.0
8,4,AA,LGA,1030,0.0
8,4,AA,LGA,1530,0.0
8,4,AA,LGA,1630,70.0
8,4,OO,HPN,1630,0.0
8,4,OO,HPN,1200,1.0
8,4,OO,HPN,705,42.0
8,4,B6,JFK,1321,0.0
8,4,B6,JFK,807,7.0
8,4,9E,JFK,1459,50.0
8,4,9E,JFK,900,74.0
8,4,9E,JFK,1155,45.0
8,4,DL,LGA,600,0.0
8,4,DL,LGA,1359,0.0
8,4,DL,LGA,730,0.0
8,4,DL,LGA,2045,0.0
8,4,DL,LGA,1630,0.0
8,4,DL,LGA,845,0.0
8,4,DL,LGA,1830,14.0
8,4,DL,LGA,1200,0.0
8,4,YX,JFK,1935,0.0
8,4,OO,LGA,1915,6.0
8,4,OO,LGA,1107,57.0
8,4,OO,LGA,1652,0.0
8,4,OO,HPN,620,0.0
8,4,OO,HPN,1803,0.0
8,4,OO,HPN,1200,0.0
8,4,UA,LGA,1815,105.0
8,4,UA,LGA,1005,0.0
8,4,UA,LGA,2100,0.0
8,4,UA,LGA,1300,1.0
8,4,UA,LGA,900,0.0
8,4,UA,LGA,630,0.0
8,4,UA,LGA,1500,0.0
8,4,UA,LGA,800,0.0
8,4,YX,LGA,700,0.0
8,5,AA,JFK,845,14.0
8,5,AA,JFK,1555,14.0
