"MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","ORIGIN","DEST","CRS_DEP_TIME","DEP_DELAY_NEW"
"6","2","AA","LGA","ORD","1608","0.0"
"7","5","NK","LGA","DFW","1230","0.0"
"8","1","DL","LGA","ATL","600","0.0"
"4","3","DL","JFK","LAX","1200","0.0"
"7","5","DL","JFK","LAX","1355","0.0"
"10","2","DL","LGA","ATL","1300","0.0"
"10","6","9E","JFK","ORD","1550","162.0"
"2","1","YX","LGA","ATL","2020","0.0"
"10","2","DL","JFK","PHX","715","0.0"
"7","6","AA","LGA","ORD","930","52.0"
"9","4","AA","JFK","ORD","1607","0.0"
"7","3","B6","JFK","LAX","2040","49.0"
"12","4","AA","LGA","ORD","630","0.0"
"10","5","B6","JFK","LAX","1730","0.0"
"5","6","UA","LGA","ORD","1759","0.0"
"11","4","F9","LGA","ATL","2257","27.0"
"7","1","B6","JFK","LAX","2159","132.0"
"6","3","AA","LGA","DFW","1815","0.0"
"7","7","AA","JFK","LAX","729","0.0"
"12","6","AA","JFK","ORD","1729","4.0"
"3","4","AA","JFK","LAX","2045","0.0"
"3","3","DL","LGA","ATL","1025","0.0"
"5","5","DL","JFK","LAX","1815","0.0"
"5","5","B6","JFK","LAX","1100","0.0"
"5","4","B6","JFK","ATL","1730","65.0"
"5","3","AA","JFK","LAX","2015","0.0"
"6","7","DL","JFK","DFW","830","0.0"
"9","7","AA","LGA","DFW","1359","0.0"
"11","2","AA","JFK","LAX","600","0.0"
"8","7","AA","LGA","DFW","736","0.0"
"10","2","B6","JFK","LAX","1100","0.0"
"11","2","B6","JFK","LAX","1630","0.0"
"7","3","AA","LGA","ORD","2025","19.0"
"11","6","DL","LGA","ATL","1359","0.0"
"10","1","UA","LGA","ORD","1815","0.0"
"11","3","WN","LGA","ATL","1555","0.0"
"2","1","NK","LGA","DFW","1200","0.0"
"10","5","WN","LGA","ATL","1040","0.0"
"6","7","DL","LGA","ATL","2030","0.0"
"11","2","B6","JFK","LAX","700","0.0"
"2","7","AA","LGA","ORD","930","0.0"
"12","7","DL","JFK","ATL","815","11.0"
"12","2","AA","LGA","ORD","1130","11.0"
"3","4","YX","LGA","ATL","1729","21.0"
"6","7","DL","JFK","ATL","840","8.0"
"4","3","YX","LGA","ORD","2100","0.0"
"11","5","9E","JFK","ORD","1520","0.0"
"11","7","AA","JFK","LAX","1600","0.0"
"4","2","AA","JFK","LAX","600","0.0"
"3","2","AA","JFK","LAX","1030","0.0"
"6","5","AA","JFK","PHX","640","0.0"
"10","7","UA","LGA","ORD","900","0.0"
"11","5","DL","JFK","ATL","2145","0.0"
"8","7","AA","LGA","DFW","1430","1.0"
"2","4","DL","JFK","DFW","700","0.0"
"4","4","B6","JFK","LAX","1720","0.0"
"12","7","DL","JFK","LAX","1029","0.0"
"4","2","AA","LGA","DFW","1235","4.0"
"5","7","WN","LGA","ATL","1440","94.0"
"8","3","WN","LGA","ATL","1045","0.0"
"7","2","AA","LGA","DFW","829","0.0"
"5","7","DL","LGA","ORD","1259","0.0"
"3","5","DL","JFK","ATL","2130","68.0"
